date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:18	76013/76013	---M--	200	added ('OK')	image/png	etag:%221e5f7e1080cf3b28d381addfc7d5eee2%22	https://link2/731/635/Ancient_Wisdom__Modern_Relevance.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/Ancient_Wisdom__Modern_Relevance.png	(from https://home/)
17:47:18	101833/101833	---M--	200	added ('OK')	image/png	etag:%22004ca6967661d7a05cc7e7d987d28548%22	https://link2/731/635/Our_Student_First_Philosophy.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/Our_Student_First_Philosophy.png	(from https://home/)
17:47:18	61433/61433	---M--	200	added ('OK')	image/png	etag:%222867f5664754b58cdf97a25321bdee97%22	https://link2/731/635/Professional_Growth___Recognition.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/Professional_Growth___Recognition.png	(from https://home/)
17:47:18	732/732	---M--	200	added ('OK')	image/png	etag:%22e11884f92973460a5ab2ec67702828f6%22	https://link2/731/635/rating_stars2.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/rating_stars2.png	(from https://home/)
17:47:19	11481/11481	---M--	200	added ('OK')	image/png	etag:%22447a6a9fdd7255108004104bfa804e5c%22	https://link2/731/635/akash_gupta.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/akash_gupta.png	(from https://home/)
17:47:19	16810/16810	---M--	200	added ('OK')	image/png	etag:%221b00407e110ca9d35f75663210d124ae%22	https://link2/731/635/Manpreet_Singh_Bhatia.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/Manpreet_Singh_Bhatia.png	(from https://home/)
17:47:19	14580/14580	---M--	200	added ('OK')	image/png	etag:%22c50d0265311ce01461773ecb76f395df%22	https://link2/731/635/manoj_yadav.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/manoj_yadav.png	(from https://home/)
17:47:19	12532/12532	---M--	200	added ('OK')	image/png	etag:%22080087bea8addc96528b39d40b01787e%22	https://link2/731/635/meenu_wadhwani.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/meenu_wadhwani.png	(from https://home/)
17:47:20	14159/14159	---M--	200	added ('OK')	image/png	etag:%220419d3f821aca5d45bc420c2e1e8c490%22	https://link2/731/635/Jeanette_Robins.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/Jeanette_Robins.png	(from https://home/)
17:47:20	13623/13623	---M--	200	added ('OK')	image/png	etag:%225f3f36990faa8da60a19d531c5da41f8%22	https://link2/731/635/N_S_subramanyam.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/N_S_subramanyam.png	(from https://home/)
17:47:20	8603/8603	---M--	200	added ('OK')	image/png	etag:%22343858f6f70b31c8088afc083d79d16e%22	https://link2/731/635/shruti_jain.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/shruti_jain.png	(from https://home/)
17:47:21	158268/158268	---M--	200	added ('OK')	image/jpeg	etag:%22af4fcb512e72ce7cd568eae6b16faf3c%22	https://link2/731/635/Case_Study_reena.jpg	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/Case_Study_reena.jpg	(from https://home/)
17:47:22	33126/33126	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2012:17:23%20GMT	https://home/learnastrologyonline/from-struggling-homemaker-to-sought-after-vastu-consultant	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/home/learnastrologyonline/from-struggling-homemaker-to-sought-after-vastu-consultant.html	(from https://home/)
17:47:22	71306/71306	---M--	200	added ('OK')	image/jpeg	etag:%22219e150fb90f59506cf66d15c70ff037%22	https://link2/731/635/Case_Study_3__Rahul_Kashyap.jpg	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/Case_Study_3__Rahul_Kashyap.jpg	(from https://home/)
17:47:23	36269/36269	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2012:17:24%20GMT	https://home/learnastrologyonline/how-astrology-boosted-his-sales-and-respect	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/home/learnastrologyonline/how-astrology-boosted-his-sales-and-respect.html	(from https://home/)
17:47:23	73914/73914	---M--	200	added ('OK')	image/png	etag:%22fd10dd1f24584805a25461f3e16b9d7b%22	https://link2/731/635/prakash_panjabi.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/prakash_panjabi.png	(from https://home/)
17:47:24	69689/69689	---M--	200	added ('OK')	image/png	etag:%223afa3f189593ab5ae5cda3dc7a396ef9%22	https://link2/731/635/NEELIMA_NILESSH_SARDA.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/NEELIMA_NILESSH_SARDA.png	(from https://home/)
17:47:24	164982/164982	---M--	200	added ('OK')	image/png	etag:%22a96d14b23bcd14e48bbfd48199343ba3%22	https://link2/731/635/Rahul_Agrawal.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/Rahul_Agrawal.png	(from https://home/)
17:47:24	85750/85750	---M--	200	added ('OK')	image/png	etag:%224ea83d39b08d2c135603a1e180543993%22	https://link2/731/635/arpit_jain.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/arpit_jain.png	(from https://home/)
17:47:24	43024/43024	---M--	200	added ('OK')	image/png	etag:%226d5bbf2cd0c471071a62d2994595f5dc%22	https://link2/731/635/jwala_prasad_mishra.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/jwala_prasad_mishra.png	(from https://home/)
17:47:24	49575/49575	---M--	200	added ('OK')	image/png	etag:%22a730e7103dc1613a299ac56a2e206e78%22	https://link2/731/635/ravikant_shastri.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/ravikant_shastri.png	(from https://home/)
17:47:25	73283/73283	---M--	200	added ('OK')	image/png	etag:%22102a86e7cb81018b13cce3b458366398%22	https://link2/731/635/meena_gala.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/meena_gala.png	(from https://home/)
17:47:25	51969/51969	---M--	200	added ('OK')	image/png	etag:%22d63e7267566bda404b04e6fdf1fe4f9f%22	https://link2/731/635/sree_rama.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/sree_rama.png	(from https://home/)
17:47:25	59983/59983	---M--	200	added ('OK')	image/png	etag:%22e619680115b042877b3bf514b371527b%22	https://link2/731/635/GAUTAM_AGRAWAL.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/GAUTAM_AGRAWAL.png	(from https://home/)
17:47:25	64592/64592	---M--	200	added ('OK')	image/png	etag:%228dd542f2c5d505b65c5389017a4a8294%22	https://link2/731/635/HEMANTBAID.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/HEMANTBAID.png	(from https://home/)
17:47:26	80948/80948	---M--	200	added ('OK')	image/png	etag:%226a21fff9d1cf749fe101ddb92ec2d475%22	https://link2/731/635/atul_sharma.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/atul_sharma.png	(from https://home/)
17:47:26	64752/64752	---M--	200	added ('OK')	image/png	etag:%2289cbb5dcf05fd283f0d5da7a07b467f8%22	https://link2/731/635/hs_sridhar.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/hs_sridhar.png	(from https://home/)
17:47:26	50503/50503	---M--	200	added ('OK')	image/png	etag:%22382a6c21f987e9dae99140a1eac00407%22	https://link2/731/635/sukhbir_singh_kochar_1.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/sukhbir_singh_kochar_1.png	(from https://home/)
17:47:26	65252/65252	---M--	200	added ('OK')	image/png	etag:%222dbe85c762d5a4e1b4721699a6b28fc6%22	https://link2/731/635/manoj_upadhaya.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/manoj_upadhaya.png	(from https://home/)
17:47:26	59931/59931	---M--	200	added ('OK')	image/png	etag:%22a01cd46dd395489a70d59669586918c9%22	https://link2/731/635/SATISHLODHA.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/SATISHLODHA.png	(from https://home/)
17:47:26	38388/38388	---M--	200	added ('OK')	image/png	etag:%223550b9ccdfe78b05baef203ca1b6bfd3%22	https://link2/731/635/rajan_maket.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/rajan_maket.png	(from https://home/)
17:47:27	34540/34540	---M--	200	added ('OK')	image/jpeg	etag:%228ac41afc1de4be01efea9aa7f062acdf%22	https://link2/731/635/AashishPatidar_1.jpg	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/AashishPatidar_1.jpg	(from https://home/)
17:47:27	68039/68039	---M--	200	added ('OK')	image/jpeg	etag:%220aa8c0529ceb4ac4acc78014f1069dbf%22	https://link2/731/635/Anjali_saraf_1.jpg	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/Anjali_saraf_1.jpg	(from https://home/)
17:47:27	24841/24841	---M--	200	added ('OK')	image/jpeg	etag:%22483ce23d5217c728445e83762521bfc0%22	https://link2/731/635/ArtiSharda_min.jpg	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/ArtiSharda_min.jpg	(from https://home/)
17:47:27	31812/31812	---M--	200	added ('OK')	image/jpeg	etag:%22fc5bea1995cae5b2da6d2597b115a5e2%22	https://link2/711/635/AZ_Surabhi_min.jpg	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/711/635/AZ_Surabhi_min.jpg	(from https://home/)
17:47:28	549/549	---M--	200	added ('OK')	image/png	etag:%22d47e60a1fb14bf098bd22a578b4b89b6%22	https://link2/731/635/up.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/up.png	(from https://home/)
17:47:30	47325/47325	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2012:17:30%20GMT	https://home/learnastrologyonline/privacy	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/home/learnastrologyonline/privacy.html	(from https://home/)
17:47:31	23330/23330	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2012:17:32%20GMT	https://home/learnastrologyonline/admission-form	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/home/learnastrologyonline/admission-form.html	(from https://home/)
17:47:33	29935/29935	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2012:17:33%20GMT	https://home/learnastrologyonline/disclaimer	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/home/learnastrologyonline/disclaimer.html	(from https://home/)
17:47:34	34035/34035	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2012:17:35%20GMT	https://home/learnastrologyonline/copyright-policy	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/home/learnastrologyonline/copyright-policy.html	(from https://home/)
17:47:36	49814/49814	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2012:17:36%20GMT	https://home/learnastrologyonline/terms-conditions	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/home/learnastrologyonline/terms-conditions.html	(from https://home/)
17:47:37	36006/36006	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2012:17:38%20GMT	https://home/learnastrologyonline/delivery-and-shipping-policy	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/home/learnastrologyonline/delivery-and-shipping-policy.html	(from https://home/)
17:47:39	27188/27188	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2012:17:39%20GMT	https://home/learnastrologyonline/contact-us	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/home/learnastrologyonline/contact-us.html	(from https://home/)
17:47:40	29257/29257	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2012:17:41%20GMT	https://home/learnastrologyonline/refund-policy	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/home/learnastrologyonline/refund-policy.html	(from https://home/)
17:47:40	62616/62616	---M--	200	added ('OK')	image/png	etag:%22705d00c2434ce5224e4b72ccd1d89f2c%22	https://link2/731/635/welcome_pop_image_2022_new.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/welcome_pop_image_2022_new.png	(from https://home/)
17:47:40	80959/80959	---M--	200	added ('OK')	image/png	etag:%223af4910503944a18d658a589acdc33b9%22	https://link2/731/580/signup_modal-1.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/580/signup_modal-1.png	(from https://home/)
17:47:41	130621/130621	---M--	200	added ('OK')	image/png	etag:%22874d10eea945f3f242da5be48846cd15%22	https://link2/731/635/IVA_BOOK_1.png	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link2/731/635/IVA_BOOK_1.png	(from https://home/)
17:47:47	2135446/2135446	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ebfc4c-209596%22	https://link1/application/themes/site/635/_generated/build.5d08a846e5fe807705bcd4697e90e876.js?v=1726741580	C:/Users/vishw/OneDrive/Desktop/project/trocpd/sdf/link1/application/themes/site/635/_generated/build.5d08a846e5fe807705bcd4697e90e8761614.js	(from https://home/)
